FileID,Source of Data
Martinez_2025,not specified
Zerrouk_2025,Field
Zerrouk_2025,Repository
Matthews_2025,not specified
Lu_2025,not specified
Kroth_2025,Repository
Kim_2025,not specified
Wang_2025,not specified
Abdenour_2025,not specified
Feldmeier_2025,not specified
Chimienti_2025,Field
Miller_2025,not specified
Cipriano_2025,Field
Cipriano_2025,Repository
Chiloane_2025,Field
Chiloane_2025,Repository
Axford_2024,Field
Pasanisi_2024,Field
Wang_2024,Field
Kohlberg_2024,Field
Jelas_2024,Field
Jelas_2024,Repository
Tiwari_2023,Field
Tiwari_2023,Repository
Lazcano-Hernandez_2023,Field
Lazcano-Hernandez_2023,Repository
Rubbens_2023,Field
Sharma_2023,Field
Ho_2022,Field
Ho_2022,Repository
Cruz_2022,not specified
Borowiec_2022,not specified
Farrell_2022,not specified
Hussein_2022,Field
Hussein_2022,Lab
Stupariu_2022,not specified
Silva_2021,not specified
Nitoslawski_2021,Field
Nitoslawski_2021,Repository
Lurig_2021,not specified
Corcoran_2021,Field
Lopez-Marcano_2020,not specified
Christin_2019,not specified
Gobeyn_2019,not specified
Dujon_2019,Field
Liu_2018,not specified
Weinstein_2017,Field
Kulicki_2024,Field
Kulicki_2024,Repository
Bose_2025,not specified
Mkuzi_2025,Field
Gallerani_2025,Field
Liu_2025,Field
Liu_2025,Repository
Xu_2025,Field
Xu_2025,Repository
Kyalo_2025,Field
Kyalo_2025,Repository
Kyalo_2025,Lab
Wu_2025,Repository
Suleman_2025,Repository
Morante-Carballo_2025,not specified
Khabibullaev_2024,not specified
Ozcan_2024,Field
Ozcan_2024,Repository
Bao_2024,not specified
Zhong_2024,Field
Cardenas_2024,Field
Cardenas_2024,Repository
Xu_2024,Field
Xu_2024,Repository
Ma_2024,Repository
Matyukira_2024,Repository
Safonova_2023,Repository
Lee_2023,not specified
Hirchmugl_2023,Repository
Veiga-Branco_2023,not specified
Pillodar_2023,Repository
Mulugeta_2024,Repository
Mulugeta_2024,Lab
Kerry_2022,not specified
Katal_2022,Field
Katal_2022,Repository
Amarathunga_2021,Field
Amarathunga_2021,Repository
Amarathunga_2021,Lab
Rana_2021,not specified
Houinato_2025,Repository
Lee_2025,Field
Lee_2025,Lab
Shivaprakash_2022,Field
Hayes_2025,Field
Hayes_2025,Repository
MacielPelanda_2025,Repository
Campbell_2025,Field
