Category,Yes,Partially,No,NA
Protocol available,1.0,0.0,26.0,0.0
Full search string reported,16.0,9.0,2.0,0.0
Non-English reviews considered,0.0,0.0,27.0,0.0
Search comprehensiveness assessed,0.0,0.0,27.0,0.0
Screening method described,2.0,14.0,11.0,0.0
Full-text inclusion counts,24.0,0.0,3.0,0.0
Raw data provided,2.0,0.0,25.0,0.0
Metadata provided,1.0,0.0,26.0,0.0
Competing interests reported,25.0,0.0,2.0,0.0
Provided any supplemental files,9.0,0.0,18.0,0.0
Languages searched reported,12.0,0.0,15.0,0.0
Intended to included Non-English reviews,0.0,0.0,27.0,0.0
Reported Non-english terms used,0.0,0.0,0.0,27.0
Data extraction process described,3.0,0.0,24.0,0.0
Provide PRSIMA/ROSES diagram,15.0,0.0,12.0,0.0
Included reviews listed,10.0,0.0,17.0,0.0
Excluded reviews listed,2.0,0.0,25.0,0.0
Code provided,0.0,0.0,27.0,0.0
