FileID,Training paradigm
Martinez_2025,Supervised
Zerrouk_2025,Supervised
Matthews_2025,Unsupervised
Matthews_2025,Supervised
Lu_2025,Supervised
Kroth_2025,Supervised
Kim_2025,Supervised
Wang_2025,Unsupervised
Wang_2025,Supervised
Abdenour_2025,Unsupervised
Abdenour_2025,Supervised
Chimienti_2025,Supervised
Miller_2025,Supervised
Cipriano_2025,Unsupervised
Cipriano_2025,Supervised
Chiloane_2025,Unsupervised
Chiloane_2025,Supervised
Axford_2024,Supervised
Pasanisi_2024,Supervised
Wang_2024,Supervised
Kohlberg_2024,Reinforcement Learning
Kohlberg_2024,Supervised
Jelas_2024,Reinforcement Learning
Jelas_2024,Supervised
Tiwari_2023,Unsupervised
Tiwari_2023,Supervised
Lazcano-Hernandez_2023,Supervised
Rubbens_2023,Supervised
Sharma_2023,Unsupervised
Sharma_2023,Supervised
Ho_2022,Unsupervised
Ho_2022,Supervised
Cruz_2022,Unsupervised
Cruz_2022,Supervised
Borowiec_2022,Supervised
Farrell_2022,Unsupervised
Farrell_2022,Supervised
Hussein_2022,Supervised
Stupariu_2022,Unsupervised
Stupariu_2022,Supervised
Silva_2021,Unsupervised
Silva_2021,Supervised
Nitoslawski_2021,Supervised
Lurig_2021,Supervised
Corcoran_2021,Supervised
Lopez-Marcano_2020,Unsupervised
Lopez-Marcano_2020,Reinforcement Learning
Lopez-Marcano_2020,Supervised
Christin_2019,Supervised
Gobeyn_2019,Supervised
Dujon_2019,Unsupervised
Dujon_2019,Supervised
Liu_2018,Supervised
Weinstein_2017,Supervised
Kulicki_2024,Supervised
Bose_2025,Unsupervised
Bose_2025,Supervised
Mkuzi_2025,Supervised
Gallerani_2025,Supervised
Liu_2025,Supervised
Xu_2025,Unsupervised
Xu_2025,Supervised
Kyalo_2025,Unsupervised
Kyalo_2025,Supervised
Wu_2025,Unsupervised
Wu_2025,Supervised
Suleman_2025,Unsupervised
Suleman_2025,Supervised
Morante-Carballo_2025,Unsupervised
Morante-Carballo_2025,Reinforcement Learning
Morante-Carballo_2025,Supervised
Ozcan_2024,Supervised
Bao_2024,Supervised
Zhong_2024,Unsupervised
Zhong_2024,Supervised
Cardenas_2024,Unsupervised
Cardenas_2024,Supervised
Xu_2024,Supervised
Ma_2024,Supervised
Matyukira_2024,Supervised
Safonova_2023,Supervised
Lee_2023,Supervised
Hirchmugl_2023,Supervised
Veiga-Branco_2023,Supervised
Pillodar_2023,Supervised
Mulugeta_2024,Supervised
Kerry_2022,Supervised
Katal_2022,Supervised
Amarathunga_2021,Supervised
Rana_2021,Unsupervised
Rana_2021,Reinforcement Learning
Rana_2021,Supervised
Houinato_2025,Supervised
Lee_2025,Supervised
Shivaprakash_2022,Supervised
Hayes_2025,Unsupervised
Hayes_2025,Supervised
MacielPelanda_2025,Supervised
Campbell_2025,Supervised
